,Year,Player,Pos,,Tm,G,,,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22774,2014,Amar'e Stoudemire,C,,NYK,65,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.739,112,208,320,34,23,37,91,159,772
22829,2014,Dwyane Wade,SG,,MIA,54,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733,60,181,241,252,79,29,161,106,1028
22832,2014,John Wall,PG,,WAS,82,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805,38,295,333,721,149,40,295,219,1583
22831,2014,Kemba Walker,PG,,CHA,73,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837,39,267,306,447,86,32,169,128,1289
22797,2014,Klay Thompson,SG,,GSW,81,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.795,38,211,249,181,74,37,135,234,1488
23085,2015,Aaron Gordon,PF,,ORL,47,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721,46,123,169,33,21,22,38,83,243
23139,2015,Al Horford,C,,ATL,76,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.759,131,413,544,244,68,98,100,121,1156
23012,2015,Anthony Davis,PF,,NOP,68,,,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805,173,523,696,149,100,200,95,141,1656
22887,2015,Carmelo Anthony,SF,,NYK,40,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.797,72,192,264,122,40,17,89,87,966
22933,2015,Chris Bosh,C,,MIA,44,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.772,46,264,310,95,41,25,95,69,928
23312,2015,Chris Paul,PG,,LAC,82,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,52,324,376,838,156,15,190,203,1564
23215,2015,Damian Lillard,PG,,POR,82,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864,49,329,378,507,97,21,222,164,1720
23022,2015,DeMar DeRozan,SG,,TOR,60,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.832,41,236,277,210,73,11,137,122,1204
22990,2015,DeMarcus Cousins,C,,SAC,59,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.782,185,562,747,210,90,103,254,241,1421
23373,2015,Derrick Rose,PG,,CHI,51,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813,35,126,161,251,36,16,161,63,904
23093,2015,Draymond Green,PF,,GSW,79,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,114,533,647,291,123,99,133,253,921
23123,2015,Gordon Hayward,SF,,UTA,76,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.812,54,319,373,313,108,30,206,131,1463
23212,2015,Kawhi Leonard,SF,,SAS,64,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.802,85,376,461,161,148,48,97,128,1057
23071,2015,Kevin Garnett,PF,,BRK,42,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829,46,239,285,69,41,13,45,96,285
23446,2015,Klay Thompson,SG,,GSW,77,,,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.879,27,220,247,222,87,60,149,122,1668
22944,2015,Kobe Bryant,SG,,LAL,35,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813,26,173,199,197,47,7,128,65,782
23154,2015,LeBron James,SF,,CLE,69,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,51,365,416,511,109,49,272,135,1743
23000,2015,Stephen Curry,PG,,GSW,80,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914,56,285,341,619,163,16,249,158,1900
22965,2015,Vince Carter,SG,,MEM,66,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789,27,106,133,79,43,14,43,102,384
23762,2016,Al Horford,C,,ATL,82,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798,148,448,596,263,68,121,107,163,1249
24019,2016,Amar'e Stoudemire,C,,MIA,52,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.746,65,157,222,27,18,41,47,92,300
23539,2016,Carmelo Anthony,SF,,NYK,72,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829,98,458,556,299,62,38,176,180,1573
23842,2016,Damian Lillard,PG,,POR,75,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892,45,257,302,512,65,28,242,165,1879
23922,2016,Dirk Nowitzki,PF,,DAL,75,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893,52,437,489,132,52,52,84,161,1372
23705,2016,Draymond Green,PF,,GSW,81,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696,134,635,769,598,119,113,259,240,1131
23722,2016,James Harden,SG,,HOU,82,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,63,438,501,612,139,51,374,229,2376
23839,2016,Kawhi Leonard,SF,,SAS,72,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874,95,398,493,186,128,71,105,133,1523
24059,2016,Kemba Walker,PG,,CHO,81,,,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.847,56,301,357,421,126,39,171,111,1689
23654,2016,Kevin Durant,SF,,OKC,72,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.898,45,544,589,361,69,85,250,137,2029
23687,2016,Kevin Garnett,PF,,MIN,38,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,15,135,150,62,28,10,16,70,122
24033,2016,Klay Thompson,SG,,GSW,80,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873,35,271,306,166,60,49,138,152,1771
23586,2016,Kobe Bryant,SF,,LAL,66,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826,41,206,247,184,62,13,129,115,1161
23778,2016,Kyrie Irving,PG,,CLE,53,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885,44,113,157,249,56,18,124,107,1041
23781,2016,LeBron James,SF,,CLE,76,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.731,111,454,565,514,104,49,249,143,1920
23804,2016,Nikola Jokic,C,,DEN,80,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.811,181,379,560,189,79,50,104,208,796
23689,2016,Pau Gasol,C,,CHI,72,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.792,155,638,793,294,42,146,164,148,1187
23692,2016,Paul George,SF,,IND,81,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,79,484,563,329,152,29,265,230,1874
23944,2016,Paul Pierce,SF,,LAC,68,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818,12,174,186,71,33,17,58,129,417
23633,2016,Stephen Curry,PG,,GSW,79,,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,68,362,430,527,169,15,262,161,2375
23652,2016,Tim Duncan,C,,SAS,61,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702,115,332,447,163,47,78,90,125,522
23665,2016,Tyreke Evans,SG,,NOP,25,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796,20,109,129,164,32,8,73,66,379
23928,2016,Victor Oladipo,SG,,ORL,72,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,48,297,345,282,116,54,153,174,1153
23602,2016,Vince Carter,SG,,MEM,60,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,31,115,146,56,38,16,35,101,395
24154,2017,Andrew Bogut,C,32,TOT,27,21,583,9.3,0.46,0.012,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,,-0.3,1,0.7,0.055,,-5.6,5.3,-0.3,0.3,38,81,0.469,0,1,0,38,80,0.475,0.469,3,11,0.273,56,162,218,49,13,25,43,86,79
24421,2017,Damian Lillard,PG,26,POR,75,75,2694,24.1,0.586,0.388,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,,8.8,1.5,10.3,0.184,,6.4,-2,4.3,4.3,661,1488,0.444,214,578,0.37,447,910,0.491,0.516,488,545,0.895,46,322,368,439,68,20,197,152,2024
24617,2017,Klay Thompson,SG,26,GSW,78,78,2649,17.4,0.592,0.47,0.158,2.2,9.2,5.9,9.3,1.2,1.2,8,26.1,,4.2,2.9,7.1,0.128,,2.4,-2.1,0.3,1.5,644,1376,0.468,268,647,0.414,376,729,0.516,0.565,186,218,0.853,49,236,285,160,66,40,128,139,1742
24239,2017,Kevin Durant,SF,28,GSW,62,62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,,8,4,12,0.277,,5.4,2.6,8,5.2,551,1026,0.537,117,312,0.375,434,714,0.608,0.594,336,384,0.875,39,474,513,300,66,99,138,117,1555